 [2022-02-27 19:10:18,511] INFO : End of DRP CICMTS run
 [2022-03-28 17:51:22,610] INFO : DRP module CICMTS, version 0.2.3
 [2022-03-28 17:51:22,612] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2022-03-28 17:51:22,618] INFO : starting data ingest
 [2022-03-28 17:51:22,618] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2022-03-28 17:51:22,619] INFO : ingesting file: comm-2203.csv
 [2022-03-28 17:51:22,621] INFO : Count of added rows to Community: 0
 [2022-03-28 17:51:22,622] INFO : Processed comm-2203.csv with 0 new rows added
 [2022-03-28 17:51:22,622] INFO : moved comm-2203.csv to completed directory
 [2022-03-28 17:51:22,623] INFO : ingesting file: coll-2203.csv
 [2022-03-28 17:51:22,633] INFO : Count of added rows to Collection: 1
 [2022-03-28 17:51:22,638] INFO : Processed coll-2203.csv with 1 new rows added
 [2022-03-28 17:51:22,639] INFO : moved coll-2203.csv to completed directory
 [2022-03-28 17:51:22,639] INFO : ingesting file: itct-2203.csv
 [2022-03-28 17:51:22,653] INFO : moved itct-2203.csv to completed directory
 [2022-03-28 17:51:22,653] INFO : Ingest complete
 [2022-03-28 17:51:22,653] INFO : Starting report generation
 [2022-03-28 17:51:22,683] INFO : created: dome-cicmts-202203.txt
 [2022-03-28 17:51:22,698] INFO : created: dome-cicmts-202203.html
 [2022-03-28 17:51:22,751] INFO : created report: dome-cicmts-202203.xlsx
 [2022-03-28 17:51:22,809] INFO : End of DRP CICMTS run
 [2022-04-26 02:24:13,928] INFO : DRP module CICMTS, version 0.2.3
 [2022-04-26 02:24:13,928] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2022-04-26 02:24:13,929] INFO : starting data ingest
 [2022-04-26 02:24:13,929] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2022-04-26 02:24:13,930] INFO : ingesting file: comm-2204.csv
 [2022-04-26 02:24:13,931] INFO : Count of added rows to Community: 0
 [2022-04-26 02:24:13,932] INFO : Processed comm-2204.csv with 0 new rows added
 [2022-04-26 02:24:13,933] INFO : moved comm-2204.csv to completed directory
 [2022-04-26 02:24:13,933] INFO : ingesting file: coll-2204.csv
 [2022-04-26 02:24:13,934] INFO : Count of added rows to Collection: 0
 [2022-04-26 02:24:13,935] INFO : Processed coll-2204.csv with 0 new rows added
 [2022-04-26 02:24:13,935] INFO : moved coll-2204.csv to completed directory
 [2022-04-26 02:24:13,935] INFO : ingesting file: itct-2204.csv
 [2022-04-26 02:24:13,938] INFO : moved itct-2204.csv to completed directory
 [2022-04-26 02:24:13,938] INFO : Ingest complete
 [2022-04-26 02:24:13,938] INFO : Starting report generation
 [2022-04-26 02:24:13,991] INFO : created: dome-cicmts-202204.txt
 [2022-04-26 02:24:13,997] INFO : created: dome-cicmts-202204.html
 [2022-04-26 02:24:14,025] INFO : created report: dome-cicmts-202204.xlsx
 [2022-04-26 02:24:14,057] INFO : End of DRP CICMTS run
 [2022-05-25 22:41:16,532] INFO : DRP module CICMTS, version 0.2.3
 [2022-05-25 22:41:16,533] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/db/drp-prod.db
 [2022-05-25 22:41:16,537] INFO : starting data ingest
 [2022-05-25 22:41:16,537] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/r_cicmts/data_in
 [2022-05-25 22:41:16,540] INFO : ingesting file: comm-2205.csv
 [2022-05-25 22:41:16,552] INFO : Count of added rows to Community: 0
 [2022-05-25 22:41:16,558] INFO : Processed comm-2205.csv with 0 new rows added
 [2022-05-25 22:41:16,559] INFO : moved comm-2205.csv to completed directory
 [2022-05-25 22:41:16,559] INFO : ingesting file: coll-2205.csv
 [2022-05-25 22:41:16,572] INFO : Count of added rows to Collection: 0
 [2022-05-25 22:41:16,575] INFO : Processed coll-2205.csv with 0 new rows added
 [2022-05-25 22:41:16,576] INFO : moved coll-2205.csv to completed directory
 [2022-05-25 22:41:16,576] INFO : ingesting file: itct-2205.csv
 [2022-05-25 22:41:16,592] INFO : moved itct-2205.csv to completed directory
 [2022-05-25 22:41:16,592] INFO : Ingest complete
 [2022-05-25 22:41:16,592] INFO : Starting report generation
 [2022-05-25 22:41:16,661] INFO : created: dome-cicmts-202205.txt
 [2022-05-25 22:41:16,668] INFO : created: dome-cicmts-202205.html
 [2022-05-25 22:41:16,704] INFO : created report: dome-cicmts-202205.xlsx
 [2022-05-25 22:41:16,767] INFO : End of DRP CICMTS run
 [2022-06-30 12:57:36,454] INFO : DRP module CICMTS, version 0.2.3
 [2022-06-30 12:57:36,455] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/db/drp-prod.db
 [2022-06-30 12:57:36,464] INFO : starting data ingest
 [2022-06-30 12:57:36,464] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2022/dome-reports/r_cicmts/data_in
 [2022-06-30 12:57:36,466] INFO : ingesting file: comm-2206.csv
 [2022-06-30 12:57:36,481] INFO : Count of added rows to Community: 0
 [2022-06-30 12:57:36,485] INFO : Processed comm-2206.csv with 0 new rows added
 [2022-06-30 12:57:36,485] INFO : moved comm-2206.csv to completed directory
 [2022-06-30 12:57:36,485] INFO : ingesting file: coll-2206.csv
 [2022-06-30 12:57:36,494] INFO : Count of added rows to Collection: 0
 [2022-06-30 12:57:36,495] INFO : Processed coll-2206.csv with 0 new rows added
 [2022-06-30 12:57:36,496] INFO : moved coll-2206.csv to completed directory
 [2022-06-30 12:57:36,496] INFO : ingesting file: itct-2206.csv
 [2022-06-30 12:57:36,508] INFO : moved itct-2206.csv to completed directory
 [2022-06-30 12:57:36,508] INFO : Ingest complete
